Start Date,Year,Cycle,ENL,RES
3/4/2019 7:00:00,2019,09,4800,4800000
3/11/2019 14:00:00,2019,10,83000,598000
3/18/2019 21:00:00,2019,11,87000,2200000
3/26/2019 4:00:00,2019,12,8200,4400000
4/2/2019 11:00:00,2019,13,26000,1700000
4/9/2019 18:00:00,2019,14,34000,958000
4/17/2019 1:00:00,2019,15,61000,712000
4/24/2019 8:00:00,2019,16,127000,1600000
5/1/2019 15:00:00,2019,17,136000,1100000
5/8/2019 22:00:00,2019,18,112000,2000000
5/16/2019 5:00:00,2019,19,83000,4100000
5/23/2019 12:00:00,2019,20,43000,1100000
5/30/2019 19:00:00,2019,21,50000,1700000
6/7/2019 2:00:00,2019,22,80000,1300000
6/14/2019 9:00:00,2019,23,64000,1100000
6/21/2019 16:00:00,2019,24,74000,1300000
6/28/2019 23:00:00,2019,25,126000,2800000
7/6/2019 6:00:00,2019,26,70000,833000
7/13/2019 13:00:00,2019,27,74000,902000
7/20/2019 20:00:00,2019,28,16000,3600000
7/28/2019 3:00:00,2019,29,1500,938000
8/4/2019 10:00:00,2019,30,12000,1600000
8/11/2019 17:00:00,2019,31,41000,2800000
8/19/2019 0:00:00,2019,32,0,4000000
8/26/2019 7:00:00,2019,33,12000,733000
9/2/2019 14:00:00,2019,34,7200,3600000
9/9/2019 21:00:00,2019,35,19000,1800000
9/17/2019 4:00:00,2019,36,28000,1100000
9/24/2019 11:00:00,2019,37,13000,7400000
10/1/2019 18:00:00,2019,38,17000,4200000
10/9/2019 1:00:00,2019,39,27000,2700000
10/16/2019 8:00:00,2019,40,3500,2200000
10/23/2019 15:00:00,2019,41,35000,1800000
10/30/2019 22:00:00,2019,42,10000,2100000
11/7/2019 5:00:00,2019,43,41000,1300000
11/14/2019 12:00:00,2019,44,92000,1400000
11/21/2019 19:00:00,2019,45,59000,9600000
11/29/2019 2:00:00,2019,46,4200,3700000
12/6/2019 9:00:00,2019,47,1,793000
12/13/2019 16:00:00,2019,48,40000,7100000
12/20/2019 23:00:00,2019,49,42000,5100000
12/28/2019 6:00:00,2019,50,71000,3700000
1/4/2020 13:00:00,2020,01,29000,12000000
1/11/2020 20:00:00,2020,02,15000,16000000
1/19/2020 3:00:00,2020,03,1900,11000000
1/26/2020 10:00:00,2020,04,353,9200000
2/2/2020 17:00:00,2020,05,0,1100000
2/10/2020 0:00:00,2020,06,18000,906000
2/17/2020 7:00:00,2020,07,64000,348000
2/24/2020 14:00:00,2020,08,60000,7100000
3/2/2020 21:00:00,2020,09,134000,863000
3/10/2020 4:00:00,2020,10,180000,1600000
3/17/2020 11:00:00,2020,11,139000,933000
